relpath,class,label
VeryMildDemented/2c455df0-cb8e-4fb0-9b55-e408bb15264e.jpg,VeryMildDemented,1
NonDemented/fc9ab1c1-ee41-419a-9ce6-03496de4a909.jpg,NonDemented,0
NonDemented/b7483a38-1d35-4e2c-90cf-331709a70179.jpg,NonDemented,0
MildDemented/4b99b733-6eaa-44b4-8cc2-61a9787a0af9.jpg,MildDemented,2
MildDemented/b3945aaa-3360-4326-a003-280c82af0cb7.jpg,MildDemented,2
VeryMildDemented/0ef5755b-1c3c-4016-83c0-35a97d56a7f9.jpg,VeryMildDemented,1
NonDemented/2cc55b8f-828f-4608-8c14-b143860be8fb.jpg,NonDemented,0
NonDemented/8b22f575-4a1f-4cb6-8e3c-e3c27fd08ca2.jpg,NonDemented,0
MildDemented/28 (16).jpg,MildDemented,2
MildDemented/11796101-cdc3-44ba-b4cb-d57ac7ac1bdb.jpg,MildDemented,2
NonDemented/5f44cfe4-63b7-4167-a439-cfdb0d24a5f1.jpg,NonDemented,0
NonDemented/6af99436-2029-4c65-9fa6-ae557f4d13d8.jpg,NonDemented,0
NonDemented/nonDem856.jpg,NonDemented,0
VeryMildDemented/verymildDem1507.jpg,VeryMildDemented,1
NonDemented/3a337a98-04fc-4bbc-8378-680e73c0bf1f.jpg,NonDemented,0
MildDemented/e70cad7c-d5fd-4968-9ebb-acf12018683e.jpg,MildDemented,2
ModerateDemented/3fb9ef97-c288-4004-9b77-af7acd836ec5.jpg,ModerateDemented,3
MildDemented/mildDem711.jpg,MildDemented,2
NonDemented/nonDem1866.jpg,NonDemented,0
VeryMildDemented/c80ffc53-e6e5-46c6-9859-88d45ae8f7ed.jpg,VeryMildDemented,1
NonDemented/nonDem1832.jpg,NonDemented,0
NonDemented/4e6c894a-5b40-4f9d-9a0c-68452f6d08dd.jpg,NonDemented,0
MildDemented/e1174a46-3752-4e40-8522-f635f557d631.jpg,MildDemented,2
ModerateDemented/aug_9835_c40b9705-5c17-4f96-b640-77576af43787.jpg,ModerateDemented,3
NonDemented/74ebc810-3b2c-4b2f-a40a-bcbc37ee7408.jpg,NonDemented,0
NonDemented/30 (8).jpg,NonDemented,0
MildDemented/mildDem258.jpg,MildDemented,2
VeryMildDemented/verymildDem1034.jpg,VeryMildDemented,1
NonDemented/nonDem1914.jpg,NonDemented,0
VeryMildDemented/verymildDem1455.jpg,VeryMildDemented,1
VeryMildDemented/50ccdb9a-f40e-4a9d-83d0-76c0fd4d1401.jpg,VeryMildDemented,1
VeryMildDemented/c305789f-709a-4a71-bf41-5a3f7a5ff690.jpg,VeryMildDemented,1
MildDemented/b86a02b7-98d0-4e7b-99a2-25225c303172.jpg,MildDemented,2
NonDemented/0718b40b-1875-4e4f-94c5-d33724afdb47.jpg,NonDemented,0
NonDemented/498917c5-ddff-4d6d-ad12-d56efaf3600f.jpg,NonDemented,0
VeryMildDemented/33126f1b-62e4-4000-a553-5fdae1cbce52.jpg,VeryMildDemented,1
ModerateDemented/aug_8172_59c72212-e6ed-4334-b73f-d59d0722aea2.jpg,ModerateDemented,3
ModerateDemented/4d963f1b-0eca-4cf5-b9e6-26712bed9e3e.jpg,ModerateDemented,3
NonDemented/nonDem581.jpg,NonDemented,0
VeryMildDemented/verymildDem759.jpg,VeryMildDemented,1
ModerateDemented/a5d2a073-598e-4dfd-bf53-ca94bd720683.jpg,ModerateDemented,3
NonDemented/760b5ff7-fd2a-438f-9cf1-328b696d2c55.jpg,NonDemented,0
NonDemented/5877a612-d8f2-404d-8b7a-c2714cea4c71.jpg,NonDemented,0
VeryMildDemented/12d55291-f78e-45c5-b381-74220c01945a.jpg,VeryMildDemented,1
ModerateDemented/aug_9180_dc9a5024-2029-4203-a224-269e72991eac.jpg,ModerateDemented,3
NonDemented/4ac5c3a0-1a06-41a0-839e-6735533bf04c.jpg,NonDemented,0
NonDemented/9bfe2071-1a68-46d8-8d19-34419f0ae8a4.jpg,NonDemented,0
VeryMildDemented/30 (11).jpg,VeryMildDemented,1
NonDemented/3a6850d8-1862-4205-a1fd-93b461d04f0e.jpg,NonDemented,0
MildDemented/481f74af-90df-4b06-bfc2-0788e229f729.jpg,MildDemented,2
NonDemented/4f3d699d-61b9-4c72-b9ec-19993a81f361.jpg,NonDemented,0
MildDemented/mildDem166.jpg,MildDemented,2
ModerateDemented/1e9db083-7a49-4102-8c5e-9d77626973c1.jpg,ModerateDemented,3
NonDemented/0af6a623-c45e-42f5-ad94-89f194d5011e.jpg,NonDemented,0
MildDemented/343adb77-4017-4eb9-91c2-4d746a6f5f37.jpg,MildDemented,2
ModerateDemented/1afa6cae-f241-4fc9-9066-dfcc246b203c.jpg,ModerateDemented,3
NonDemented/30 (24).jpg,NonDemented,0
ModerateDemented/9c8adf0a-88c2-4055-a957-4967be89556a.jpg,ModerateDemented,3
MildDemented/adeae991-10b7-4c46-8f3d-f108e1e55d77.jpg,MildDemented,2
NonDemented/0a50fed4-89dd-4721-80da-caa789d95ca2.jpg,NonDemented,0
NonDemented/18f826a9-f8f2-4dea-aa13-ff8134d86ca5.jpg,NonDemented,0
VeryMildDemented/b8655904-50dc-4dd9-aabd-9e0d22f8256f.jpg,VeryMildDemented,1
VeryMildDemented/ffa484e9-c62e-4b62-a98a-a6d2d9e5fa9a.jpg,VeryMildDemented,1
ModerateDemented/aug_8392_59ed0df3-7056-4af9-950e-d92a0f45e5b2.jpg,ModerateDemented,3
VeryMildDemented/69ddddea-ac09-4ef4-819a-7a4357338243.jpg,VeryMildDemented,1
NonDemented/29 (96).jpg,NonDemented,0
VeryMildDemented/556e5e76-5f52-4ba9-be78-6ff1eb1296e3.jpg,VeryMildDemented,1
VeryMildDemented/verymildDem431.jpg,VeryMildDemented,1
ModerateDemented/aug_9832_c592b4d4-cae2-4d9f-9231-398eabffe8de.jpg,ModerateDemented,3
VeryMildDemented/93601422-7d68-4cf7-9312-9cae1c17fd68.jpg,VeryMildDemented,1
ModerateDemented/f9799127-8655-4269-8b7d-e6dd7a804dd4.jpg,ModerateDemented,3
NonDemented/69b50a14-d792-4567-b800-bab3e72386dc.jpg,NonDemented,0
MildDemented/96d8169e-7f9d-4897-8cf3-ccf6238d7f51.jpg,MildDemented,2
NonDemented/28 (92).jpg,NonDemented,0
MildDemented/1b4519e1-d7f7-43ef-9f30-57d41734354c.jpg,MildDemented,2
NonDemented/ec736336-eaf3-4b8d-8664-0f0302245152.jpg,NonDemented,0
ModerateDemented/bf15d9ea-cc99-4181-8c64-379fe89203e7.jpg,ModerateDemented,3
VeryMildDemented/verymildDem744.jpg,VeryMildDemented,1
NonDemented/48659186-44a2-4ec2-9544-7361d48906fa.jpg,NonDemented,0
ModerateDemented/eaf83ff2-c0ea-4238-844a-156babf93e0a.jpg,ModerateDemented,3
VeryMildDemented/b52fab38-3804-49a7-a57c-d06edeb4a2c3.jpg,VeryMildDemented,1
MildDemented/678a1a4f-0b26-421a-8737-b703cad2b0fe.jpg,MildDemented,2
NonDemented/85d125f6-ac8e-4b35-942e-fc3f9a3f9888.jpg,NonDemented,0
VeryMildDemented/26579383-ba2d-4b93-90ac-6d242904f417.jpg,VeryMildDemented,1
ModerateDemented/e140ca62-f14d-45b4-992d-199073941e11.jpg,ModerateDemented,3
NonDemented/8c03da0f-f701-4255-9c71-a6d2c9ebcd34.jpg,NonDemented,0
ModerateDemented/aug_9915_ac718081-62f9-4b61-8fbe-af99451dd076.jpg,ModerateDemented,3
NonDemented/9cf1a70b-ae34-4a9d-9da0-1e58b606a6d9.jpg,NonDemented,0
MildDemented/b95628e4-f62b-4a37-a838-57bdf2018fdf.jpg,MildDemented,2
MildDemented/aug_9946_bebc8e6d-f875-4ba0-96d8-3671c16581c2.jpg,MildDemented,2
VeryMildDemented/76c42002-ad7e-438b-a591-a83aae3cdc5c.jpg,VeryMildDemented,1
MildDemented/b572cdc9-6633-42d8-934f-c78a79dc0673.jpg,MildDemented,2
NonDemented/4066c889-11bf-4c5a-b7a4-d300a7b79891.jpg,NonDemented,0
MildDemented/74141d7b-4126-4d5a-944e-8910da1bfdae.jpg,MildDemented,2
NonDemented/4623884e-ac8c-4f52-9fd6-a0c0dbc6c5e4.jpg,NonDemented,0
MildDemented/0fe2c42b-675a-4d89-8d2b-9f8e0f737232.jpg,MildDemented,2
VeryMildDemented/a7883b04-d096-427b-94b8-be1dde2ab999.jpg,VeryMildDemented,1
